desc,precio,plu,precio x unidad,link,rubro,fecha
Alguicida clasico mantenimiento pot 1  lt,61.95,29880,,http://www.cotodigital.com.ar/s.asp?id=29880,Aire Libre,2014-02-22
Alguicida plus de choque bot 1 lt,88.7,29879,,http://www.cotodigital.com.ar/s.asp?id=29879,Aire Libre,2014-02-22
Boya dosificadora HTH CLOROTEC chica,48.05,79640,,http://www.cotodigital.com.ar/s.asp?id=79640,Aire Libre,2014-02-22
Boya dosificadora HTH CLOROTEC satelite,88.7,29885,,http://www.cotodigital.com.ar/s.asp?id=29885,Aire Libre,2014-02-22
Clarificador HTH CLOROTEC clasico bot 1 ltr,54.47,29882,,http://www.cotodigital.com.ar/s.asp?id=29882,Aire Libre,2014-02-22
Cloro FRESH CLOR pastillas chicas pot 1 kg,96.19,34419,,http://www.cotodigital.com.ar/s.asp?id=34419,Aire Libre,2014-02-22
Cloro HTH CLOROTEC clarificador plus bot 1 ltr,82.29,34425,,http://www.cotodigital.com.ar/s.asp?id=34425,Aire Libre,2014-02-22
Cloro HTH CLOROTEC pastillas grandes bal 4 kg,571.39,79636,,http://www.cotodigital.com.ar/s.asp?id=79636,Aire Libre,2014-02-22
Cloro HTH CLOROTEC pastillas grandes pot 1 kg,157.19,29876,,http://www.cotodigital.com.ar/s.asp?id=29876,Aire Libre,2014-02-22
Cloro HTH CLOROTEC pastillas triple accion bal 4 kg,572.35,98956,,http://www.cotodigital.com.ar/s.asp?id=98956,Aire Libre,2014-02-22
Cloro HTH CLOROTEC pastillas triple accion pot 1 kg,157.19,46526,,http://www.cotodigital.com.ar/s.asp?id=46526,Aire Libre,2014-02-22
Cloro HTH CLOROTEC shock bal 4 kg,463.2,79634,,http://www.cotodigital.com.ar/s.asp?id=79634,Aire Libre,2014-02-22
Cloro HTH CLOROTEC shock granuldo dis instanea pot 1 kg,122.95,29877,,http://www.cotodigital.com.ar/s.asp?id=29877,Aire Libre,2014-02-22
Cloro HTH CLOROTEC tecnico granulado pot 1 kg,136.85,29878,,http://www.cotodigital.com.ar/s.asp?id=29878,Aire Libre,2014-02-22
Cloro shock instantaneo FRESH CLOR pot 1 kg,109.03,27922,,http://www.cotodigital.com.ar/s.asp?id=27922,Aire Libre,2014-02-22
Flotador magico 1.60 x 6.5 varios colores . .,24.9,182100,,http://www.cotodigital.com.ar/s.asp?id=182100,Aire Libre,2014-02-22
Manguera riego 1/2 pulgada 15 mts,53.39,165008,,http://www.cotodigital.com.ar/s.asp?id=165008,Aire Libre,2014-02-22
Manguera riego msz 3/4 x 15 mts,106.89,165004,,http://www.cotodigital.com.ar/s.asp?id=165004,Aire Libre,2014-02-22
Manguera riego reforzada mr 1/2 x 20 mts,153.97,165009,,http://www.cotodigital.com.ar/s.asp?id=165009,Aire Libre,2014-02-22
Manguera riego standar ms 1/2 x 20 mts,106.89,165012,,http://www.cotodigital.com.ar/s.asp?id=165012,Aire Libre,2014-02-22
Mesa práctica c/4 banquetas - azul . . .,579,213402,,http://www.cotodigital.com.ar/s.asp?id=213402,Aire Libre,2014-02-22
Pileta de lona 189 x 130 x 42 cm 1000 litros,614.19,171158,,http://www.cotodigital.com.ar/s.asp?id=171158,Aire Libre,2014-02-22
Pileta inflable p/bebe 2 anillos  61 x 15,34.9,182210,,http://www.cotodigital.com.ar/s.asp?id=182210,Aire Libre,2014-02-22
Saca hojas HTH CLOROTEC con mango 1.86 mts,103.69,29886,,http://www.cotodigital.com.ar/s.asp?id=29886,Aire Libre,2014-02-22
